url,title,category
https://dzone.com/articles/configuring-logback-with-spring-boot,"Configuring Logback With Spring Boot",Java
https://dzone.com/articles/acceptance-tests-in-java-with-jgiven,"Acceptance Tests in Java With JGiven",Java
https://dzone.com/articles/fun-modules,"Fun With Modules",Java
https://dzone.com/articles/flex-j2ee-developers-case-gran,"Flex for J2EE Developers: The Case for Granite Data Services",Java
https://dzone.com/articles/creating-application-using,"Creating Application using Spring Roo and Deploying on Google App Engine",Java
https://dzone.com/articles/clojure-destructuring,"Clojure: Destructuring",Java
https://dzone.com/articles/challenges-javafx-reboot,"The Challenges of a JavaFX Reboot",Java
https://dzone.com/articles/busting-permgen-myths,"Busting PermGen Myths",Java
https://dzone.com/articles/decorator-pattern-to-solve-messy-scenarios,"Decorator Pattern to Solve Integration Scenarios in Existing Systems",Java
https://dzone.com/articles/querydsl-5-vs-jpa-criteria-introduction,"Querydsl vs. JPA Criteria - Introduction",Java
https://dzone.com/articles/introduction-to-jpa-architecture,"Introduction to JPA Architecture",Java
https://dzone.com/articles/eclipses-rap-push-session-revisited,"Eclipse's RAP Push Session Revisited",Java
https://dzone.com/articles/what-makes-the-architecture-of-geo-distributed-app,"What Makes the Architecture of Geo-Distributed Apps Different?",Java
https://dzone.com/articles/geo-what-a-quick-introduction-to-geo-distributed-a,"Geo What? A Quick Introduction to Geo-Distributed Apps",Java
https://dzone.com/articles/resilient-kafka-consumers-with-reactor-kafka,"Resilient Kafka Consumers With Reactor Kafka",Java
https://dzone.com/articles/java-class-loading-performance-impact,"Java Class Loading: Performance Impact",Java
https://dzone.com/articles/jpa-constructor,"Data Software Design Pitfalls on Java: Should We Have a Constructor on JPA?",Java
https://dzone.com/articles/optional-in-java-when-better-code-is-not-an-altern,"Optional in Java: When Better Code Is Not an Alternative",Java
https://dzone.com/articles/external-debugging-tools-3-jmxterm,"External Debugging Tools 3: JMXTerm",Java
https://dzone.com/articles/ktor-a-kotlin-web-framework-1,"Ktor - A Kotlin Web Framework",Java
https://dzone.com/articles/combining-grpc-with-guice,"Combining gRPC With Guice",Java
https://dzone.com/articles/jsp-vs-servlet-difference-and-comparison,"JSP vs Servlet: Difference and Comparison",Java
https://dzone.com/articles/the-difference-you-should-know-about-java-and-pyth,"The Differences You Should Know About Java and Python",Java
https://dzone.com/articles/happens-before-in-java-or-how-to-write-thread-safe,"Happens-Before In Java Or How To Write a Thread-Safe Application",Java
https://dzone.com/articles/using-multiple-azure-storage-accounts-from-a-single-spring-boot-app,"Using Multiple Azure Storage Accounts From a Single Spring Boot App",Java
https://dzone.com/articles/50-common-java-errors-and-how-to-avoid-them-part-1,"50 Common Java Errors and How to Avoid Them",Java
https://dzone.com/articles/resteasy-10-ga-released,"RESTEasy 1.0 GA Released",Java
https://dzone.com/articles/closures-coming-java-7,"Update on Closures Coming to Java 7",Java
https://dzone.com/articles/grails-10-released,"Grails 1.0 Released!",Java
https://dzone.com/articles/netbeans-platform-offshore,"NetBeans Platform Offshore",Java
